,Reporter,Partner,Trade Value (US$),expor,TradeValue,Weight,Type
158,Egypt,Indonesia,87009561.0,,87009561.0,87009561.0,Directed
159,Egypt,Finland,40628959.0,43765872.0,42197415.5,42197415.5,Directed
160,Egypt,Belarus,6136722.0,4435000.0,5285861.0,5285861.0,Directed
161,Egypt,Ethiopia,795982.0,,795982.0,795982.0,Directed
162,Egypt,Jordan,4982713.0,,4982713.0,4982713.0,Directed
163,Egypt,Sudan,10485737.0,,10485737.0,10485737.0,Directed
164,Egypt,Belgium,83320024.0,93970640.0,88645332.0,88645332.0,Directed
165,Egypt,Botswana,18136.0,,18136.0,18136.0,Directed
166,Egypt,Greece,20037105.0,33610714.0,26823909.5,26823909.5,Directed
167,Egypt,Guatemala,5976334.0,2127780.0,4052057.0,4052057.0,Directed
168,Egypt,Algeria,89272.0,,89272.0,89272.0,Directed
169,Egypt,Kazakhstan,17704.0,,17704.0,17704.0,Directed
170,Egypt,Portugal,15327278.0,11871446.0,13599362.0,13599362.0,Directed
171,Egypt,Mauritius,49453.0,,49453.0,49453.0,Directed
172,Egypt,Thailand,68542762.0,,68542762.0,68542762.0,Directed
173,Egypt,Uruguay,458208.0,22941249.0,11699728.5,11699728.5,Directed
174,Egypt,United Rep. of Tanzania,460982.0,,460982.0,460982.0,Directed
175,Egypt,Uganda,728020.0,790650.0,759335.0,759335.0,Directed
176,Egypt,Kuwait,73831972.0,,73831972.0,73831972.0,Directed
177,Egypt,Sri Lanka,613884.0,,613884.0,613884.0,Directed
178,Egypt,Ghana,269991.0,,269991.0,269991.0,Directed
179,Egypt,Poland,21278851.0,25113857.0,23196354.0,23196354.0,Directed
180,Egypt,Qatar,1545806.0,2367259.0,1956532.5,1956532.5,Directed
181,Egypt,Viet Nam,39401052.0,,39401052.0,39401052.0,Directed
182,Egypt,Slovenia,5288028.0,3916766.0,4602397.0,4602397.0,Directed
183,Egypt,TFYR of Macedonia,163.0,5273.0,2718.0,2718.0,Directed
184,Egypt,Hungary,13138570.0,10196280.0,11667425.0,11667425.0,Directed
185,Egypt,Denmark,18124798.0,15714458.0,16919628.0,16919628.0,Directed
186,Egypt,Brazil,99970380.0,83382430.0,91676405.0,91676405.0,Directed
187,Egypt,Mexico,8862357.0,5501178.0,7181767.5,7181767.5,Directed
188,Egypt,Morocco,8683261.0,,8683261.0,8683261.0,Directed
189,Egypt,Peru,1124797.0,686253.0,905525.0,905525.0,Directed
190,Egypt,Barbados,566.0,,566.0,566.0,Directed
191,Egypt,Comoros,54602.0,,54602.0,54602.0,Directed
192,Egypt,Japan,84435660.0,93119671.0,88777665.5,88777665.5,Directed
193,Egypt,Côte d'Ivoire,146733.0,,146733.0,146733.0,Directed
194,Egypt,Kenya,15011934.0,12914478.0,13963206.0,13963206.0,Directed
195,Egypt,Rep. of Korea,86606056.0,,86606056.0,86606056.0,Directed
196,Egypt,Senegal,206438.0,,206438.0,206438.0,Directed
197,Egypt,Philippines,1331632.0,194164.0,762898.0,762898.0,Directed
198,Egypt,Pakistan,2642784.0,1928232.0,2285508.0,2285508.0,Directed
199,Egypt,Sweden,65651620.0,105498671.0,85575145.5,85575145.5,Directed
200,Egypt,New Zealand,18424035.0,9716762.0,14070398.5,14070398.5,Directed
201,Egypt,Malaysia,31572089.0,25102225.0,28337157.0,28337157.0,Directed
202,Egypt,Jamaica,49162.0,,49162.0,49162.0,Directed
203,Egypt,Benin,2212304.0,,2212304.0,2212304.0,Directed
204,Egypt,Estonia,1623058.0,1564214.0,1593636.0,1593636.0,Directed
205,Egypt,Bulgaria,10282576.0,10011931.0,10147253.5,10147253.5,Directed
206,Egypt,Argentina,71630999.0,181209859.0,126420429.0,126420429.0,Directed
207,Egypt,Albania,20362.0,,20362.0,20362.0,Directed
208,Egypt,Austria,19719961.0,,19719961.0,19719961.0,Directed
209,Egypt,Bahrain,27537836.0,,27537836.0,27537836.0,Directed
210,Egypt,Lebanon,3295697.0,,3295697.0,3295697.0,Directed
211,Egypt,Yemen,2387181.0,,2387181.0,2387181.0,Directed
212,Egypt,Czech Rep.,21887047.0,16418560.0,19152803.5,19152803.5,Directed
213,Egypt,Israel,2625154.0,3740000.0,3182577.0,3182577.0,Directed
214,Egypt,Bangladesh,1836174.0,,1836174.0,1836174.0,Directed
215,Egypt,Oman,21357309.0,,21357309.0,21357309.0,Directed
